The Dolphin,"{""type"":""Point"",""coordinates"":[-0.194792662502102,51.3695147959025]}"
The Prince Regent,"{""type"":""Point"",""coordinates"":[-0.194691422369582,51.3702462037273]}"
The Nightingale,"{""type"":""Point"",""coordinates"":[-0.185263423799691,51.3627618165892]}"
The New Town,"{""type"":""Point"",""coordinates"":[-0.185767738000195,51.3640548896852]}"
Lord Nelson,"{""type"":""Point"",""coordinates"":[-0.184307885831973,51.3654747937759]}"
The Butterchurn,"{""type"":""Point"",""coordinates"":[-0.180140780891999,51.3695091877618]}"
The Brook,"{""type"":""Point"",""coordinates"":[-0.244134875270577,51.3800139935534]}"
The Manor,"{""type"":""Point"",""coordinates"":[-0.26234372607968,51.3849400788744]}"
The Plough,"{""type"":""Point"",""coordinates"":[-0.252755378231573,51.3846228760998]}"
The North End Tavern,"{""type"":""Point"",""coordinates"":[-0.237057947462283,51.3764630910404]}"
The Drill,"{""type"":""Point"",""coordinates"":[-0.232099247093944,51.372873387983]}"
The Morden Brook,"{""type"":""Point"",""coordinates"":[-0.221867256344766,51.3910817069943]}"
The Fountain,"{""type"":""Point"",""coordinates"":[-0.255139776490212,51.3984409103375]}"
The Watchman,"{""type"":""Point"",""coordinates"":[-0.255176517585332,51.3988891077482]}"
The Glasshouse,"{""type"":""Point"",""coordinates"":[-0.257200242257397,51.4043231168841]}"
The Royal Oak,"{""type"":""Point"",""coordinates"":[-0.258330951705518,51.4075434950099]}"
Raynes Park Tavern,"{""type"":""Point"",""coordinates"":[-0.230182511772218,51.4096476099013]}"
The Edward Rayne,"{""type"":""Point"",""coordinates"":[-0.22888642248029,51.409695293309]}"
Lord Nelson,"{""type"":""Point"",""coordinates"":[-0.218621104234071,51.3799177798318]}"
The Woodstock,"{""type"":""Point"",""coordinates"":[-0.211275849650411,51.3854291655883]}"
Leather Bottle,"{""type"":""Point"",""coordinates"":[-0.209111538636382,51.411219006945]}"
The White Hart,"{""type"":""Point"",""coordinates"":[-0.2017703264715,51.4144827120291]}"
Prince of Wales,"{""type"":""Point"",""coordinates"":[-0.19273031027282,51.4107625817626]}"
The Kilkenny,"{""type"":""Point"",""coordinates"":[-0.191774862136631,51.4155329131485]}"
The Trafalgar,"{""type"":""Point"",""coordinates"":[-0.189062578799289,51.4139269836815]}"
The William Morris,"{""type"":""Point"",""coordinates"":[-0.183747337094682,51.4127765109689]}"
The Nelson Arms,"{""type"":""Point"",""coordinates"":[-0.186401858759255,51.4158755048804]}"
Masons Arms,"{""type"":""Point"",""coordinates"":[-0.339123721560188,51.4266902791805]}"
The Adelaide,"{""type"":""Point"",""coordinates"":[-0.334485899411336,51.4236880843471]}"
The Railway,"{""type"":""Point"",""coordinates"":[-0.332666810960994,51.4239915727592]}"
The Red Lion,"{""type"":""Point"",""coordinates"":[-0.34526397602173,51.4308550931839]}"
Brouge (The Old Goat),"{""type"":""Point"",""coordinates"":[-0.350388056233876,51.4361090167042]}"
Abercorn Arms,"{""type"":""Point"",""coordinates"":[-0.338222711330216,51.4285974817794]}"
The Tide End Cottage,"{""type"":""Point"",""coordinates"":[-0.322978390790236,51.4293734800222]}"
The Anglers,"{""type"":""Point"",""coordinates"":[-0.322444611848412,51.4292546867753]}"
The Three Kings,"{""type"":""Point"",""coordinates"":[-0.331675879371081,51.4453426746084]}"
The Duke of Cambridge,"{""type"":""Point"",""coordinates"":[-0.351421118810614,51.4547683142805]}"
The George,"{""type"":""Point"",""coordinates"":[-0.328971321545183,51.4460753899842]}"
The Fox,"{""type"":""Point"",""coordinates"":[-0.327125822625488,51.4466749010864]}"
The Bear,"{""type"":""Point"",""coordinates"":[-0.327301353432004,51.4472937755084]}"
The Misty Moon,"{""type"":""Point"",""coordinates"":[-0.329394158549418,51.448360410018]}"
The Barmy Arms,"{""type"":""Point"",""coordinates"":[-0.325718881227499,51.4462752092304]}"
The Eel Pie,"{""type"":""Point"",""coordinates"":[-0.32648361702887,51.4470112128428]}"
The Royal Oak,"{""type"":""Point"",""coordinates"":[-0.324865930865228,51.4485659856718]}"
The White Swan,"{""type"":""Point"",""coordinates"":[-0.32139313380835,51.4469541626294]}"
The Mulberry,"{""type"":""Point"",""coordinates"":[-0.323271960225086,51.4494409035103]}"
The Old Anchor,"{""type"":""Point"",""coordinates"":[-0.323030942234357,51.449575487541]}"
The Crown,"{""type"":""Point"",""coordinates"":[-0.318614375139983,51.4512826660926]}"
The Turk's Head,"{""type"":""Point"",""coordinates"":[-0.323003453786663,51.4563823803444]}"
St Margarets Tavern,"{""type"":""Point"",""coordinates"":[-0.319338237595927,51.4547779982873]}"
The Marble Hill,"{""type"":""Point"",""coordinates"":[-0.313440079103455,51.4526821745925]}"
The Slug and Lettuce,"{""type"":""Point"",""coordinates"":[-0.307789496303286,51.4587744069244]}"
